revenue_id,deal_id,company_id,fee_type,amount_usd,currency,year,quarter,transaction_date,payment_status,service_line,client_repeat
RV0019,DL0082,CO0235,Success Fee,96200,USD,2023,Q4,2021-09-29,Paid,Due Diligence,1
RV0020,,CO0131,Retainer,38900,AED,2021,Q4,2024-12-25,Paid,Due Diligence,1
RV0021,,CO0112,Due Diligence Fee,29400,USD,2024,Q4,2024-08-24,Pending,Investor Matching,1
RV0022,,CO0389,Retainer,8900,USD,2024,Q2,2021-12-31,Paid,M&A Advisory,0
RV0023,,CO0408,Retainer,20500,USD,2023,Q4,2023-10-29,Paid,Fundraising,0
RV0024,DL0054,CO0054,Success Fee,456100,USD,2023,Q2,2024-01-17,Overdue,M&A Advisory,0
RV0025,DL0214,CO0290,Success Fee,778000,USD,2024,Q1,2024-11-22,Overdue,Investor Matching,0
RV0026,,CO0239,Retainer,31500,AED,2022,Q1,2024-07-28,Paid,Due Diligence,1
RV0027,,CO0240,Project Fee,59800,AED,2022,Q3,2022-10-23,Paid,Investor Matching,0
RV0028,,CO0295,Retainer,42800,USD,2024,Q2,2024-12-25,Paid,Strategic Advisory,1
RV0029,DL0248,CO0112,Success Fee,663800,USD,2024,Q3,2021-08-25,Paid,Due Diligence,1
RV0030,,CO0088,Retainer,23800,USD,2024,Q1,2022-12-23,Paid,Investor Matching,1
RV0031,DL0292,CO0228,Success Fee,451600,USD,2022,Q1,2024-02-26,Paid,Fundraising,1
RV0032,,CO0476,Retainer,44000,USD,2021,Q1,2023-09-11,Overdue,Fundraising,0
RV0033,,CO0304,Due Diligence Fee,23200,USD,2021,Q1,2024-04-08,Pending,Fundraising,1
RV0034,,CO0305,Project Fee,89300,INR,2022,Q4,2024-03-14,Paid,Strategic Advisory,1
RV0035,DL0225,CO0290,Success Fee,407200,AED,2024,Q1,2024-09-28,Paid,M&A Advisory,0
RV0036,,CO0208,Due Diligence Fee,10500,USD,2022,Q4,2024-12-25,Paid,Fundraising,1
RV0037,,CO0356,Retainer,45600,USD,2024,Q4,2023-05-05,Paid,Strategic Advisory,1
RV0038,,CO0391,Project Fee,74300,AED,2022,Q3,2024-10-12,Paid,Fundraising,1
RV0039,DL0093,CO0274,Success Fee,426600,USD,2023,Q4,2023-12-30,Pending,Strategic Advisory,1
RV0040,,CO0070,Project Fee,91000,AED,2024,Q3,2022-08-09,Paid,Fundraising,1
RV0041,DL0195,CO0370,Success Fee,650300,INR,2022,Q4,2023-05-16,Pending,M&A Advisory,1
RV0042,,CO0220,Retainer,35500,USD,2023,Q4,2021-01-27,Paid,Investor Matching,0
RV0043,DL0184,CO0231,Success Fee,515200,USD,2022,Q1,2023-12-07,Paid,Fundraising,1
RV0044,DL0015,CO0290,Success Fee,140200,AED,2021,Q2,2021-08-07,Paid,Investor Matching,1
RV0045,DL0067,CO0307,Success Fee,617900,INR,2023,Q4,2021-02-21,Paid,Fundraising,1
RV0046,DL0248,CO0361,Success Fee,179700,USD,2023,Q2,2023-02-20,Pending,M&A Advisory,1
RV0047,DL0250,CO0349,Success Fee,788300,AED,2024,Q2,2021-10-25,Paid,Investor Matching,1
RV0048,,CO0255,Project Fee,97500,USD,2024,Q2,2021-04-19,Paid,Strategic Advisory,1
RV0049,DL0058,CO0452,Success Fee,656300,USD,2023,Q4,2024-10-04,Paid,Fundraising,1
RV0050,,CO0142,Retainer,10700,AED,2021,Q2,2021-04-26,Paid,Fundraising,1
RV0051,DL0211,CO0069,Success Fee,367500,INR,2023,Q4,2022-02-14,Overdue,Strategic Advisory,0
RV0052,,CO0089,Valuation Fee,24800,AED,2021,Q1,2022-07-01,Paid,M&A Advisory,1
RV0053,,CO0359,Valuation Fee,13700,AED,2023,Q4,2021-11-26,Paid,Due Diligence,1
RV0054,DL0226,CO0136,Success Fee,798000,USD,2024,Q3,2022-08-10,Paid,Fundraising,1
RV0055,,CO0143,Retainer,33200,USD,2022,Q1,2024-10-31,Paid,Strategic Advisory,0
RV0056,DL0024,CO0339,Success Fee,675600,USD,2024,Q2,2022-05-29,Paid,Due Diligence,1
RV0057,,CO0187,Valuation Fee,10200,USD,2024,Q2,2021-10-27,Paid,Fundraising,1
RV0058,,CO0011,Retainer,46000,AED,2024,Q3,2021-05-08,Paid,Investor Matching,1
RV0059,DL0033,CO0148,Success Fee,735600,USD,2022,Q1,2024-11-15,Overdue,Strategic Advisory,0
RV0060,DL0134,CO0439,Success Fee,100300,AED,2023,Q3,2022-08-28,Paid,Investor Matching,1
RV0061,DL0161,CO0292,Success Fee,341100,AED,2024,Q2,2022-02-22,Paid,M&A Advisory,0
RV0062,DL0007,CO0338,Success Fee,348000,USD,2022,Q4,2024-01-14,Pending,Due Diligence,1
RV0063,,CO0398,Project Fee,39400,USD,2024,Q2,2021-03-08,Paid,Strategic Advisory,0
RV0064,,CO0442,Retainer,17400,AED,2021,Q3,2023-01-05,Paid,Fundraising,0
RV0065,DL0269,CO0038,Success Fee,393600,INR,2021,Q4,2023-07-16,Paid,Fundraising,0
RV0066,DL0296,CO0345,Success Fee,705100,AED,2024,Q4,2021-07-29,Paid,Due Diligence,0
RV0067,DL0290,CO0208,Success Fee,639900,USD,2024,Q2,2024-06-15,Paid,Investor Matching,0
RV0068,DL0115,CO0210,Success Fee,517300,USD,2024,Q4,2024-10-15,Paid,Investor Matching,1
RV0069,,CO0001,Due Diligence Fee,24700,USD,2024,Q1,2024-02-25,Paid,Strategic Advisory,1
RV0070,DL0174,CO0360,Success Fee,364700,USD,2021,Q2,2022-04-05,Paid,Strategic Advisory,1
RV0071,,CO0065,Retainer,23600,AED,2022,Q2,2024-08-18,Pending,Investor Matching,1
RV0072,DL0266,CO0001,Success Fee,161100,AED,2024,Q1,2024-02-24,Paid,Strategic Advisory,1
RV0073,DL0268,CO0243,Success Fee,491000,USD,2022,Q2,2023-03-08,Pending,Investor Matching,1
RV0074,,CO0469,Retainer,39100,USD,2024,Q3,2022-05-02,Paid,Due Diligence,0
RV0075,,CO0381,Retainer,47300,USD,2023,Q3,2023-11-13,Paid,Strategic Advisory,0
RV0076,,CO0316,Retainer,46600,INR,2021,Q2,2024-11-26,Paid,Investor Matching,1
RV0077,,CO0025,Retainer,30300,USD,2022,Q1,2022-08-13,Paid,Strategic Advisory,1
RV0078,,CO0347,Retainer,9500,AED,2023,Q4,2024-11-20,Paid,Fundraising,0
RV0079,DL0049,CO0394,Success Fee,264600,USD,2024,Q1,2024-09-22,Pending,Fundraising,0
RV0080,,CO0050,Retainer,29100,AED,2024,Q3,2021-04-07,Paid,M&A Advisory,0
RV0081,,CO0396,Project Fee,40900,USD,2023,Q2,2023-02-21,Paid,Investor Matching,1
RV0082,DL0222,CO0348,Success Fee,358200,USD,2023,Q1,2023-03-05,Paid,M&A Advisory,0
RV0083,,CO0241,Retainer,22200,AED,2022,Q4,2023-05-04,Paid,Investor Matching,1
RV0084,DL0128,CO0032,Success Fee,414200,USD,2021,Q4,2024-11-04,Paid,Strategic Advisory,1
RV0085,DL0247,CO0033,Success Fee,506700,USD,2023,Q4,2022-10-03,Pending,Investor Matching,1
RV0086,,CO0200,Retainer,6700,USD,2021,Q4,2024-02-05,Overdue,Fundraising,0
RV0087,,CO0234,Due Diligence Fee,16800,USD,2022,Q1,2021-04-21,Paid,Strategic Advisory,0
RV0088,,CO0026,Due Diligence Fee,12600,USD,2023,Q4,2021-01-27,Paid,Fundraising,1
RV0089,DL0178,CO0042,Success Fee,506500,AED,2023,Q3,2022-05-30,Paid,Strategic Advisory,1
RV0090,,CO0434,Retainer,36200,INR,2021,Q4,2022-02-20,Paid,Investor Matching,1
RV0091,,CO0061,Retainer,6700,USD,2023,Q3,2024-06-24,Paid,Investor Matching,1
RV0092,DL0198,CO0041,Success Fee,717200,USD,2023,Q1,2023-06-27,Pending,Fundraising,1
RV0093,,CO0441,Project Fee,39800,USD,2021,Q3,2022-04-07,Overdue,Due Diligence,1
RV0094,,CO0130,Project Fee,31400,USD,2024,Q1,2024-07-21,Pending,Investor Matching,1
RV0095,,CO0355,Due Diligence Fee,31900,USD,2021,Q4,2024-12-14,Paid,Due Diligence,1
RV0096,DL0077,CO0354,Success Fee,740600,AED,2024,Q2,2024-12-24,Paid,Strategic Advisory,0
RV0097,DL0286,CO0198,Success Fee,722800,USD,2021,Q3,2024-08-19,Paid,Due Diligence,0
RV0098,,CO0287,Due Diligence Fee,8600,USD,2024,Q3,2023-01-24,Paid,Fundraising,0
RV0099,,CO0151,Project Fee,83600,AED,2021,Q2,2024-04-20,Paid,M&A Advisory,0
RV0100,,CO0204,Due Diligence Fee,17700,INR,2024,Q1,2024-01-25,Paid,M&A Advisory,1
RV0101,DL0028,CO0182,Success Fee,260300,INR,2023,Q1,2024-05-20,Paid,Fundraising,0
RV0102,,CO0371,Retainer,27100,AED,2024,Q4,2022-02-07,Pending,M&A Advisory,1
RV0103,,CO0412,Retainer,36300,INR,2023,Q3,2022-02-01,Paid,Fundraising,1
RV0104,DL0006,CO0207,Success Fee,123700,USD,2021,Q1,2022-08-26,Pending,Investor Matching,0
RV0105,,CO0147,Retainer,44100,USD,2024,Q4,2023-07-09,Paid,Due Diligence,1
RV0106,,CO0204,Retainer,11000,USD,2021,Q1,2021-12-30,Paid,M&A Advisory,0
RV0107,DL0081,CO0498,Success Fee,780700,AED,2024,Q2,2024-10-30,Pending,Investor Matching,0
RV0108,DL0259,CO0048,Success Fee,382300,INR,2021,Q2,2021-06-02,Paid,M&A Advisory,1
RV0109,,CO0258,Retainer,42200,USD,2023,Q2,2022-01-18,Paid,Strategic Advisory,1
RV0110,,CO0139,Retainer,17100,AED,2024,Q4,2021-12-22,Paid,Fundraising,1
RV0111,,CO0172,Due Diligence Fee,21300,AED,2023,Q3,2023-11-19,Paid,Fundraising,0
RV0112,DL0241,CO0101,Success Fee,534200,INR,2022,Q2,2021-09-02,Paid,Investor Matching,1
RV0113,DL0254,CO0187,Success Fee,191000,AED,2024,Q2,2023-02-12,Pending,Strategic Advisory,0
RV0114,,CO0384,Valuation Fee,9200,INR,2024,Q1,2021-03-25,Pending,Due Diligence,0
RV0115,,CO0315,Due Diligence Fee,34400,USD,2024,Q2,2023-05-28,Paid,Strategic Advisory,1
RV0116,DL0085,CO0376,Success Fee,605700,USD,2023,Q3,2022-07-26,Paid,Strategic Advisory,0
RV0117,,CO0294,Project Fee,78400,USD,2023,Q4,2024-02-14,Pending,Due Diligence,1
RV0118,DL0039,CO0409,Success Fee,700400,USD,2023,Q2,2022-06-26,Paid,Due Diligence,1
RV0119,DL0252,CO0363,Success Fee,665800,USD,2022,Q4,2021-09-24,Paid,Strategic Advisory,1
RV0120,DL0165,CO0021,Success Fee,436500,AED,2024,Q4,2021-11-26,Pending,M&A Advisory,0
RV0121,DL0124,CO0298,Success Fee,169200,AED,2022,Q3,2024-04-11,Pending,M&A Advisory,1
RV0122,,CO0420,Due Diligence Fee,18000,AED,2023,Q1,2022-06-07,Pending,Strategic Advisory,1
RV0123,,CO0393,Project Fee,55600,USD,2023,Q1,2021-01-12,Paid,M&A Advisory,1
RV0124,,CO0396,Valuation Fee,7700,USD,2024,Q4,2022-11-08,Paid,Due Diligence,0
RV0125,,CO0010,Project Fee,86600,USD,2024,Q2,2023-08-14,Pending,Due Diligence,1
RV0126,,CO0187,Retainer,44600,USD,2024,Q4,2024-12-24,Paid,M&A Advisory,1
RV0127,,CO0494,Project Fee,12600,USD,2023,Q1,2021-11-14,Pending,Due Diligence,0
RV0128,,CO0133,Valuation Fee,8900,USD,2024,Q2,2021-03-23,Paid,Fundraising,0
RV0129,,CO0033,Project Fee,85000,USD,2023,Q1,2021-11-11,Pending,Due Diligence,1
RV0130,,CO0069,Project Fee,85300,AED,2021,Q3,2022-10-23,Paid,Strategic Advisory,1
RV0131,,CO0080,Valuation Fee,10000,USD,2021,Q1,2024-05-07,Paid,Investor Matching,1
RV0132,DL0170,CO0191,Success Fee,392300,INR,2021,Q2,2021-04-15,Paid,M&A Advisory,0
RV0133,,CO0101,Project Fee,92600,USD,2023,Q2,2024-07-04,Paid,M&A Advisory,1
RV0134,,CO0485,Due Diligence Fee,30500,INR,2024,Q4,2024-06-14,Paid,Due Diligence,1
RV0135,,CO0285,Valuation Fee,10500,USD,2022,Q2,2024-09-17,Paid,Due Diligence,1
RV0136,DL0143,CO0402,Success Fee,667600,USD,2023,Q3,2022-09-09,Pending,Investor Matching,0
RV0137,,CO0221,Retainer,27700,USD,2024,Q1,2023-10-02,Paid,Investor Matching,1
RV0138,,CO0390,Project Fee,67200,AED,2024,Q4,2024-03-18,Paid,Strategic Advisory,0
RV0139,DL0026,CO0053,Success Fee,142900,USD,2024,Q4,2024-02-01,Paid,Fundraising,1
RV0140,,CO0466,Retainer,6400,USD,2022,Q2,2023-01-04,Pending,Strategic Advisory,1
RV0141,DL0260,CO0160,Success Fee,329400,AED,2021,Q3,2021-05-30,Paid,M&A Advisory,1
RV0142,DL0115,CO0380,Success Fee,495500,USD,2021,Q4,2024-12-20,Paid,Due Diligence,1
RV0143,,CO0042,Retainer,13000,USD,2021,Q3,2022-10-13,Pending,Strategic Advisory,1
RV0144,,CO0047,Retainer,44200,USD,2022,Q3,2023-12-13,Paid,Due Diligence,0
RV0145,,CO0159,Retainer,31400,AED,2023,Q1,2022-03-27,Paid,Due Diligence,1
RV0146,,CO0446,Retainer,20700,USD,2021,Q1,2022-01-12,Paid,Strategic Advisory,0
RV0147,DL0282,CO0184,Success Fee,172600,USD,2021,Q1,2023-12-03,Pending,Strategic Advisory,0
RV0148,DL0194,CO0246,Success Fee,720900,USD,2022,Q3,2021-05-20,Paid,Investor Matching,1
RV0149,DL0207,CO0011,Success Fee,611700,USD,2023,Q1,2023-11-01,Pending,Fundraising,1
RV0150,DL0121,CO0154,Success Fee,566600,AED,2023,Q4,2021-11-23,Pending,Investor Matching,1
RV0151,,CO0220,Retainer,17800,USD,2023,Q4,2023-05-02,Paid,Fundraising,1
RV0152,,CO0155,Project Fee,44800,USD,2022,Q2,2024-01-18,Paid,Strategic Advisory,1
RV0153,DL0041,CO0339,Success Fee,172200,USD,2023,Q3,2024-01-05,Paid,Fundraising,0
RV0154,DL0236,CO0441,Success Fee,479200,USD,2021,Q1,2023-04-07,Paid,M&A Advisory,0
RV0155,,CO0365,Project Fee,96800,USD,2022,Q4,2021-07-08,Paid,Investor Matching,1
RV0156,DL0228,CO0283,Success Fee,692800,USD,2024,Q3,2022-12-17,Pending,Investor Matching,0
RV0157,,CO0187,Valuation Fee,17900,USD,2024,Q3,2022-03-30,Paid,Investor Matching,1
RV0158,,CO0062,Project Fee,71000,INR,2023,Q1,2022-03-13,Paid,Due Diligence,1
RV0159,DL0294,CO0148,Success Fee,251800,USD,2024,Q3,2024-09-20,Paid,Due Diligence,1
RV0160,DL0230,CO0387,Success Fee,357100,USD,2023,Q1,2022-11-11,Paid,Strategic Advisory,1
RV0161,,CO0144,Retainer,5900,USD,2021,Q1,2022-11-10,Paid,Strategic Advisory,0
RV0162,DL0046,CO0103,Success Fee,635200,USD,2024,Q1,2023-01-09,Paid,Due Diligence,1
RV0163,DL0256,CO0300,Success Fee,625700,AED,2021,Q3,2022-08-25,Paid,Investor Matching,0
RV0164,DL0229,CO0093,Success Fee,56700,USD,2024,Q3,2022-03-24,Paid,Due Diligence,1
RV0165,,CO0463,Project Fee,92000,USD,2022,Q1,2024-06-20,Paid,Fundraising,0
RV0166,,CO0286,Retainer,34100,AED,2023,Q3,2023-12-23,Paid,Investor Matching,1
RV0167,DL0162,CO0424,Success Fee,500900,USD,2023,Q1,2023-08-31,Pending,Due Diligence,1
RV0168,,CO0119,Project Fee,10800,USD,2023,Q2,2024-02-24,Overdue,Strategic Advisory,1
RV0169,,CO0497,Retainer,16400,USD,2022,Q3,2024-08-22,Paid,Due Diligence,1
RV0170,,CO0449,Retainer,41200,USD,2022,Q3,2021-01-19,Paid,M&A Advisory,1
RV0171,DL0061,CO0029,Success Fee,279100,AED,2022,Q2,2021-08-23,Overdue,Due Diligence,1
RV0172,,CO0030,Retainer,48500,USD,2024,Q2,2024-10-01,Paid,Investor Matching,1
RV0173,,CO0360,Valuation Fee,17900,USD,2024,Q2,2022-12-10,Paid,Due Diligence,1
RV0174,DL0255,CO0366,Success Fee,367900,USD,2023,Q1,2023-07-02,Paid,Strategic Advisory,1
RV0175,DL0010,CO0288,Success Fee,332400,USD,2022,Q1,2022-05-08,Paid,Fundraising,1
RV0176,DL0053,CO0138,Success Fee,311500,INR,2024,Q4,2024-08-08,Paid,M&A Advisory,1
RV0177,DL0207,CO0475,Success Fee,239000,USD,2022,Q2,2024-06-10,Paid,Investor Matching,0
RV0178,DL0212,CO0051,Success Fee,400000,INR,2022,Q4,2024-06-26,Pending,Strategic Advisory,1
RV0179,,CO0392,Due Diligence Fee,29700,USD,2023,Q1,2022-05-15,Paid,M&A Advisory,1
RV0180,,CO0435,Due Diligence Fee,34400,AED,2024,Q3,2021-03-23,Paid,Due Diligence,1
RV0181,DL0019,CO0292,Success Fee,347900,USD,2021,Q2,2024-10-29,Pending,M&A Advisory,1
RV0182,,CO0234,Retainer,9600,USD,2021,Q3,2022-10-20,Pending,Fundraising,1
RV0183,,CO0055,Retainer,28000,AED,2023,Q1,2023-02-21,Pending,M&A Advisory,1
RV0184,,CO0419,Retainer,34800,AED,2022,Q2,2021-08-21,Overdue,M&A Advisory,1
RV0185,,CO0292,Retainer,42900,USD,2023,Q4,2023-03-02,Paid,Due Diligence,1
RV0186,DL0286,CO0240,Success Fee,330700,USD,2023,Q4,2022-06-10,Overdue,Due Diligence,1
RV0187,,CO0312,Retainer,34100,USD,2023,Q1,2024-01-12,Paid,Investor Matching,1
RV0188,,CO0036,Retainer,32400,INR,2021,Q3,2022-08-03,Paid,Due Diligence,1
RV0189,,CO0089,Project Fee,36900,USD,2021,Q1,2021-02-20,Paid,M&A Advisory,0
RV0190,,CO0212,Project Fee,19700,AED,2024,Q3,2023-11-25,Paid,Fundraising,1
RV0191,DL0282,CO0445,Success Fee,97900,AED,2024,Q1,2023-02-07,Pending,Due Diligence,1
RV0192,DL0001,CO0318,Success Fee,791300,AED,2022,Q4,2023-11-20,Paid,Investor Matching,1
RV0193,,CO0500,Due Diligence Fee,28500,USD,2021,Q3,2023-11-08,Paid,Investor Matching,1
RV0194,,CO0365,Retainer,43800,USD,2021,Q1,2023-07-02,Paid,M&A Advisory,1
RV0195,,CO0245,Due Diligence Fee,16400,INR,2023,Q2,2023-09-24,Paid,Due Diligence,1
RV0196,DL0047,CO0465,Success Fee,583300,AED,2024,Q4,2021-03-31,Paid,Due Diligence,1
RV0197,,CO0087,Retainer,45200,AED,2023,Q4,2022-08-31,Paid,Investor Matching,1
RV0198,,CO0409,Retainer,18400,USD,2024,Q2,2024-08-27,Pending,Due Diligence,1
RV0199,,CO0240,Due Diligence Fee,12800,AED,2024,Q1,2022-01-30,Paid,M&A Advisory,1
RV0200,DL0156,CO0320,Success Fee,624100,USD,2024,Q3,2022-10-19,Paid,Fundraising,1
RV0201,DL0261,CO0188,Success Fee,724800,USD,2021,Q4,2023-11-19,Paid,M&A Advisory,1
RV0202,,CO0057,Retainer,41200,AED,2022,Q1,2021-06-18,Paid,Due Diligence,1
RV0203,,CO0113,Due Diligence Fee,33700,USD,2021,Q2,2021-07-16,Paid,M&A Advisory,1
RV0204,,CO0223,Valuation Fee,17000,AED,2024,Q3,2021-12-09,Paid,Strategic Advisory,0
RV0205,,CO0070,Valuation Fee,18200,USD,2024,Q1,2024-01-07,Paid,Strategic Advisory,1
RV0206,,CO0227,Valuation Fee,18600,USD,2023,Q1,2023-12-29,Paid,Due Diligence,1
RV0207,DL0288,CO0256,Success Fee,591000,USD,2021,Q4,2021-01-16,Paid,Due Diligence,1
RV0208,DL0106,CO0180,Success Fee,541600,USD,2022,Q4,2024-07-07,Paid,Fundraising,0
RV0209,DL0234,CO0184,Success Fee,798100,USD,2022,Q3,2021-05-15,Paid,M&A Advisory,1
RV0210,DL0175,CO0191,Success Fee,244600,AED,2023,Q1,2022-03-08,Paid,Fundraising,0
RV0211,,CO0452,Due Diligence Fee,21400,AED,2022,Q2,2024-10-04,Paid,Due Diligence,1
RV0212,,CO0232,Due Diligence Fee,20400,USD,2021,Q2,2024-07-13,Pending,Due Diligence,1
RV0213,DL0187,CO0276,Success Fee,76500,USD,2024,Q3,2022-03-13,Paid,Investor Matching,1
RV0214,,CO0233,Retainer,36900,AED,2022,Q1,2024-11-04,Paid,Fundraising,1
RV0215,,CO0054,Due Diligence Fee,26300,AED,2023,Q4,2023-05-19,Paid,Due Diligence,1
RV0216,,CO0257,Retainer,13500,AED,2021,Q1,2021-08-01,Paid,Strategic Advisory,0
RV0217,DL0028,CO0493,Success Fee,594900,AED,2024,Q4,2022-02-26,Paid,Investor Matching,1
RV0218,,CO0090,Retainer,15000,USD,2023,Q2,2024-01-07,Pending,M&A Advisory,1
RV0219,DL0115,CO0226,Success Fee,451000,USD,2024,Q3,2024-12-10,Pending,Investor Matching,1
RV0220,,CO0247,Retainer,40300,USD,2023,Q3,2023-06-11,Pending,M&A Advisory,1
RV0221,,CO0394,Retainer,45800,USD,2024,Q3,2024-08-17,Pending,Strategic Advisory,1
RV0222,DL0233,CO0151,Success Fee,553900,AED,2024,Q4,2021-05-28,Paid,M&A Advisory,1
RV0223,,CO0435,Valuation Fee,15100,USD,2023,Q2,2024-11-06,Paid,Fundraising,1
RV0224,,CO0113,Retainer,43000,INR,2024,Q2,2021-11-11,Paid,M&A Advisory,1
RV0225,,CO0408,Retainer,42800,AED,2022,Q3,2021-02-18,Pending,M&A Advisory,1
RV0226,,CO0269,Valuation Fee,22500,AED,2023,Q3,2023-07-30,Paid,Investor Matching,0
RV0227,DL0170,CO0157,Success Fee,185900,INR,2021,Q4,2022-11-11,Paid,Strategic Advisory,1
RV0228,DL0287,CO0442,Success Fee,123200,USD,2023,Q4,2021-03-19,Paid,M&A Advisory,1
RV0229,,CO0366,Due Diligence Fee,12100,AED,2024,Q1,2021-06-29,Pending,Fundraising,0
RV0230,DL0243,CO0347,Success Fee,244000,USD,2024,Q4,2021-05-31,Paid,Investor Matching,0
RV0231,,CO0351,Project Fee,82800,USD,2021,Q1,2021-04-22,Paid,Strategic Advisory,0
RV0232,DL0187,CO0299,Success Fee,622200,AED,2023,Q3,2021-12-31,Overdue,Strategic Advisory,1
RV0233,DL0232,CO0394,Success Fee,187300,USD,2022,Q2,2022-05-31,Paid,Due Diligence,1
RV0234,,CO0159,Retainer,35600,INR,2024,Q4,2024-02-17,Overdue,Fundraising,1
RV0235,DL0059,CO0487,Success Fee,301700,AED,2022,Q2,2021-05-25,Paid,Investor Matching,0
RV0236,,CO0330,Project Fee,18000,AED,2024,Q4,2024-03-23,Paid,Investor Matching,1
RV0237,,CO0472,Retainer,21000,USD,2022,Q4,2022-04-12,Pending,Fundraising,0
RV0238,,CO0225,Valuation Fee,19900,AED,2022,Q1,2022-06-14,Paid,Strategic Advisory,0
RV0239,,CO0014,Project Fee,37600,USD,2024,Q4,2023-04-15,Paid,M&A Advisory,1
RV0240,DL0050,CO0355,Success Fee,641100,AED,2023,Q3,2023-03-06,Paid,Fundraising,1
RV0241,,CO0109,Due Diligence Fee,18600,USD,2021,Q2,2023-07-13,Paid,Investor Matching,1
RV0242,,CO0418,Retainer,16700,AED,2023,Q4,2024-07-14,Paid,Fundraising,1
RV0243,,CO0401,Project Fee,36500,USD,2021,Q2,2023-04-09,Paid,Strategic Advisory,0
RV0244,,CO0405,Due Diligence Fee,35200,USD,2024,Q2,2023-06-06,Paid,Due Diligence,1
RV0245,,CO0096,Retainer,26200,USD,2023,Q2,2022-10-10,Pending,Due Diligence,0
RV0246,,CO0195,Retainer,44000,USD,2022,Q4,2021-02-04,Paid,M&A Advisory,0
RV0247,,CO0058,Retainer,31300,AED,2023,Q1,2023-03-09,Paid,M&A Advisory,1
RV0248,DL0114,CO0463,Success Fee,758200,USD,2021,Q2,2024-10-10,Paid,Strategic Advisory,1
RV0249,DL0002,CO0392,Success Fee,103400,USD,2024,Q2,2021-08-31,Paid,M&A Advisory,0
RV0250,,CO0352,Retainer,45000,USD,2024,Q4,2024-01-01,Pending,Due Diligence,0
RV0251,DL0175,CO0294,Success Fee,425400,USD,2024,Q4,2021-01-13,Paid,Strategic Advisory,1
RV0252,DL0182,CO0154,Success Fee,700600,USD,2022,Q3,2024-08-06,Pending,Strategic Advisory,1
RV0253,DL0150,CO0064,Success Fee,336300,AED,2022,Q3,2024-06-20,Paid,Strategic Advisory,0
RV0254,,CO0158,Retainer,18400,USD,2021,Q1,2021-05-10,Paid,Fundraising,1
RV0255,DL0281,CO0265,Success Fee,90500,USD,2024,Q1,2024-04-14,Paid,M&A Advisory,0
RV0256,,CO0121,Project Fee,86900,USD,2023,Q1,2021-04-04,Paid,Investor Matching,1
RV0257,DL0268,CO0288,Success Fee,153000,USD,2023,Q1,2024-12-06,Paid,Due Diligence,0
RV0258,,CO0011,Retainer,14000,USD,2024,Q2,2021-05-29,Paid,M&A Advisory,1
RV0259,,CO0214,Retainer,23400,USD,2022,Q4,2023-01-03,Paid,Due Diligence,0
RV0260,,CO0162,Project Fee,61200,AED,2021,Q3,2023-10-27,Pending,M&A Advisory,1
RV0261,DL0192,CO0105,Success Fee,730000,USD,2021,Q2,2021-08-06,Paid,Investor Matching,1
RV0262,,CO0402,Valuation Fee,14200,USD,2022,Q4,2022-08-17,Paid,Due Diligence,1
RV0263,,CO0147,Valuation Fee,11300,USD,2021,Q4,2024-11-05,Paid,Investor Matching,0
RV0264,,CO0182,Due Diligence Fee,30900,AED,2023,Q2,2022-09-10,Paid,Due Diligence,1
